experimentName,FScoreCluster1,FScoreCluster2,FScoreCluster3,FScoreCluster4,FscoreCluster5,FscoreCluster6,AvgFscore

jonstest10_Kmeans_baseline_completeVectors_3Clusters,0.6947368421052631,0.8326180257510729,0.7499999999999999,0,0,0,0.37955914464272267
jonstest10_Kmeans_baseline_AllSamples_3Clusters,0.6485516534221994,0.7892976588628763,1.0,0,0,0,0.4063082187141793
jonstest10_Kmeans_baseline_completeVectors_3Clusters_randomInitMedIter,0.6984126984126985,0.743801652892562,0.8326180257510729,0,0,0,0.37913872950938887
jonstest10_Kmeans_baseline_completeVectors_3Clusters_randomInitHighIter,0.6984126984126985,0.743801652892562,0.8326180257510729,0,0,0,0.37913872950938887
jonstest9_Kmeans_baseline_AllSamples_3Clusters_randomInitMedIter,0.6485516534221994,1.0,0.7892976588628763,0,0,0,0.40630821871417927
jonstest9_Kmeans_baseline_AllSamples_3Clusters_randomInitHighIter,0.6485516534221994,1.0,0.7892976588628763,0,0,0,0.40630821871417927
middleage_reduced_baseline,0.7142857142857143,0.6666666666666666,0.6938775510204082,0.6923076923076924,0.5217391304347826,0.5128205128205129,0.6336162112559628
middleage_reduced_baseline,0.7142857142857143,0.6666666666666666,0.6938775510204082,0.6923076923076924,0.5217391304347826,0.5128205128205129,0.6336162112559628
jonstest8_Kmeans_baseline_completeVectors,0.8,0.8152866242038216,0.5499999999999999,0.5072463768115942,0.6990291262135923,0.7499999999999999,0.6869270212048346
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_3clusters,0.6222222222222222,0.7407407407407407,0.6842105263157895,0,0,0,0.34119558154645874
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_highest_iters,0.5547445255474452,0.6808510638297872,0.782608695652174,0.6944444444444444,0.6206896551724138,0.8333333333333334,0.694445286329933
evenVectors_Kmeans_baseline_completeVectors_outliersRemoved_3_clusters_high_iter_random,0.6,0.38554216867469876,0.6938775510204082,0,0,0,0.2799032866158511
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_highest_iters_2_clusters,0.6854219948849105,0.6666666666666666,0,0,0,0,0.22534811025859622
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_2_clusters,0.6854219948849105,0.6666666666666666,0,0,0,0,0.22534811025859622
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_4_clusters,0.6380368098159509,0.6666666666666666,0.5625,0.7638190954773869,0,0,0.4385037619933341
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_3_clusters,0.6222222222222222,0.7407407407407407,0.6842105263157895,0,0,0,0.34119558154645874
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_avgs_only_2stdsvs,0.5401459854014599,0.6666666666666666,0.8108108108108109,0.684931506849315,0.7741935483870968,0.7391304347826086,0.7026464921496597
jonstest8_Kmeans_baseline_completeVectors_outliersRemoved_no_avgs,0.5971830985915494,0.7692307692307693,1.0,0.7499999999999999,0.6233766233766234,0.7692307692307693,0.7515035434049518
jonstest7_Kmeans_baseline_NoSeekTime,0.47766990291262135,0.746214415505754,0.517829457364341,0.4782264449722882,0.7377521613832853,0.7796744739976181,0.6228944760226512
jonstest7_Kmeans_baseline_AvgsOnly,0.6466976744186046,0.6034712950600801,0.590909090909091,0.49533954727030627,0.7075812274368231,0.42424242424242425,0.5780402098895548
jonstest7_Kmeans_baseline_AvgsOnly_outliers_removed,0.4864864864864865,0.5240677966101694,0.7253814147018031,0.7945087945087945,0.47495961227786754,0.7467652495378928,0.6253615590205024
jonstest7_Kmeans_baseline_AvgsOnly_noSeekTime,0.6165413533834586,0.8930232558139535,0.6588235294117646,0.4158415841584159,0.46965699208443273,0.5268817204301076,0.5967947392136889
jonstest7_Kmeans_baseline_AvgsOnly_noSeekTime_2Clusters,0.6041828040278853,0.6268690788722748,0,0,0,0,0.20517531381669332
jonstest7_Kmeans_baseline_noAvgs,0.6250501002004009,0.6153846153846153,0.8000000000000002,0.5882352941176471,1.0,0.6363636363636364,0.7108389410110499
jonstest7_Kmeans_baseline,0.5966277561608301,0.6471465870943678,0.5968253968253968,0.4888304862023653,0.7167630057803467,0.42424242424242425,0.5784059427176218
jonstest7_Kmeans_baseline_outliers_removed,0.47649918962722854,0.524390243902439,0.4832022873481058,0.7253814147018031,0.7946963216424295,0.7467652495378928,0.6251557844599832
jonstest7_Kmeans_baseline_outliers_removed_random_init,0.4832022873481058,0.7467652495378928,0.7946963216424295,0.524390243902439,0.7253814147018031,0.47649918962722854,0.6251557844599832
jonstest7_Kmeans_baseline_outliers_removed_random_init_2,0.4832022873481058,0.7467652495378928,0.7946963216424295,0.524390243902439,0.7253814147018031,0.47649918962722854,0.6251557844599832
jonstest7_Kmeans_high_iters_outliers_removed,0.47649918962722854,0.524390243902439,0.4832022873481058,0.7253814147018031,0.7946963216424295,0.7467652495378928,0.6251557844599832
jonstest7_Kmeans_baseline_4_clusters_outliers_removed,0.6766169154228856,0.5487944890929966,0.6625716625716626,0.49343832020997375,0,0,0.3969035645495864
jonstest7_Kmeans_baseline_3_clusters_outliers_removed,0.621486330381209,0.6526082130965595,0.5318818040435458,0,0,0,0.30099605792021905
jonstest7_Kmeans_baseline_2_clusters_outliers_removed,0.6422476040435867,0.5586124401913876,0,0,0,0,0.20014334070582906